ID_REF	VALUE
201113_at	6.92225
201114_x_at	7.40846
201115_at	7.20279
201116_s_at	7.40551
201117_s_at	9.99978
201118_at	7.57662
201119_s_at	10.8599
201120_s_at	7.06242
201121_s_at	9.95685
201122_x_at	8.73003
201123_s_at	6.34661
201124_at	7.36067
201125_s_at	7.49634
201126_s_at	7.48175
201127_s_at	6.54154
201128_s_at	10.1156
201129_at	7.94751
201130_s_at	6.51621
201131_s_at	6.3079
201132_at	7.07652
201133_s_at	10.0617
201134_x_at	11.1325
201135_at	7.68994
201136_at	7.34241
201137_s_at	7.07595
201138_s_at	6.53177
201139_s_at	6.70082
201140_s_at	7.70487
201141_at	6.67886
201142_at	10.74
201143_s_at	7.33655
201144_s_at	8.71139
201145_at	9.53031
201146_at	6.68194
201147_s_at	6.33163
201148_s_at	8.00898
201149_s_at	7.18429
201150_s_at	7.73786
201151_s_at	6.14322
201152_s_at	10.0752
201153_s_at	7.77948
201154_x_at	9.37163
201155_s_at	9.44603
201156_s_at	7.56432
201157_s_at	7.04124
201158_at	7.6804
201159_s_at	7.99272
201160_s_at	7.088
201161_s_at	6.80465
201162_at	8.18677
201163_s_at	7.50161
201164_s_at	8.13043
201165_s_at	9.1805
201166_s_at	11.8388
201167_x_at	6.33345
201168_x_at	8.12708
201169_s_at	6.66916
201170_s_at	8.72679
201171_at	6.44087
201172_x_at	9.6713
201173_x_at	8.88404
201174_s_at	9.75768
201175_at	8.27659
201176_s_at	6.85872
201177_s_at	6.5334
201178_at	9.48446
201179_s_at	6.3364
201180_s_at	7.17699
201181_at	6.39424
201182_s_at	7.915
201183_s_at	7.49277
201184_s_at	10.1119
201185_at	10.6435
201186_at	8.49898
201187_s_at	6.15099
201188_s_at	6.60682
201189_s_at	7.07345
201190_s_at	8.98732
201191_at	7.38141
201192_s_at	7.25767
201193_at	7.99949
201194_at	8.19107
201195_s_at	9.59265
201196_s_at	7.06095
201197_at	6.81485
201198_s_at	7.11837
201199_s_at	8.49685
201200_at	7.24519
201201_at	7.69265
201202_at	6.41602
201203_s_at	7.89709
201204_s_at	6.72641
201205_at	7.27041
201206_s_at	8.30989
201207_at	7.86608
201208_s_at	8.42535
201209_at	6.76166
201210_at	9.59122
201211_s_at	6.52239
201212_at	6.69796
201213_at	7.08074
201214_s_at	6.94057
201215_at	8.6714
201216_at	8.03672
201217_x_at	10.7171
201218_at	6.98585
201219_at	7.95531
201220_x_at	8.63055
201221_s_at	8.48142
201222_s_at	6.19469
201223_s_at	7.63764
201224_s_at	8.50129
201225_s_at	11.3556
201226_at	9.93532
201227_s_at	11.0152
201228_s_at	7.55496
201229_s_at	6.45071
201230_s_at	7.71768
201231_s_at	10.0632
201232_s_at	6.6651
201233_at	7.23434
201234_at	8.16535
201235_s_at	7.28812
201236_s_at	8.32478
201237_at	7.0447
201238_s_at	7.13359
201239_s_at	8.25095
201240_s_at	10.2506
201241_at	7.29858
201242_s_at	11.2342
201243_s_at	14.2044
201244_s_at	6.56444
