ID_REF	VALUE
200949_x_at	12.2723
200950_at	7.38088
200951_s_at	6.98971
200952_s_at	6.98557
200953_s_at	8.90539
200954_at	9.73752
200955_at	7.38964
200956_s_at	6.8614
200957_s_at	9.2249
200958_s_at	9.16771
200959_at	9.56241
200960_x_at	11.0574
200961_at	7.48153
200962_at	6.70009
200963_x_at	12.8383
200964_at	8.22363
200965_s_at	8.40861
200966_x_at	11.2613
200967_at	7.64609
200968_s_at	6.84088
200969_at	7.36515
200970_s_at	8.10358
200971_s_at	7.49715
200972_at	8.62404
200973_s_at	6.8739
200974_at	7.03229
200975_at	9.94819
200976_s_at	9.63111
200977_s_at	7.09044
200978_at	10.4897
200979_at	7.4474
200980_s_at	7.91845
200981_x_at	13.2552
200982_s_at	8.22747
200983_x_at	7.37806
200984_s_at	7.51979
200985_s_at	8.80714
200986_at	7.48017
200987_x_at	7.06098
200988_s_at	7.14357
200989_at	9.38718
200990_at	7.9151
200991_s_at	9.29419
200992_at	8.59757
200993_at	7.43944
200994_at	8.3649
200995_at	6.9631
200996_at	6.34526
200997_at	8.29044
200998_s_at	7.63835
200999_s_at	7.16933
201000_at	9.99456
201001_s_at	6.97004
201002_s_at	8.29252
201003_x_at	7.31365
201004_at	9.55781
201005_at	7.25586
201006_at	6.97319
201007_at	9.37875
201008_s_at	8.11816
201009_s_at	9.56855
201010_s_at	11.3333
201011_at	7.38964
201012_at	6.43477
201013_s_at	8.14624
201014_s_at	6.3155
201015_s_at	7.50689
201016_at	6.48864
201017_at	7.2078
201018_at	7.94331
201019_s_at	8.78867
201020_at	7.90518
201021_s_at	8.33822
201022_s_at	10.0189
201023_at	6.87703
201024_x_at	8.76009
201025_at	7.15997
201026_at	6.32832
201027_s_at	8.58992
201028_s_at	7.80725
201029_s_at	9.64027
201030_x_at	12.266
201031_s_at	7.33709
201032_at	10.5435
201033_x_at	11.8728
201034_at	10.8742
201035_s_at	7.29362
201036_s_at	6.5892
201037_at	9.65018
201038_s_at	7.13489
201039_s_at	7.72791
201040_at	10.1727
201041_s_at	8.30991
201042_at	7.08745
201043_s_at	7.0593
201044_x_at	6.78019
201045_s_at	6.4469
201046_s_at	10.2747
201047_x_at	9.65384
201048_x_at	6.44409
201049_s_at	13.8534
201050_at	10.3686
201051_at	9.69683
201052_s_at	7.12336
201053_s_at	6.54949
201054_at	7.08654
201055_s_at	7.69378
201056_at	7.52057
201057_s_at	7.24258
201058_s_at	6.41045
201059_at	9.33606
201060_x_at	6.926
201061_s_at	8.53947
201062_at	6.01633
201063_at	6.46119
201064_s_at	8.41483
201065_s_at	8.57363
201066_at	7.75245
201067_at	9.09954
201068_s_at	7.23557
201069_at	7.15685
201070_x_at	9.35368
201071_x_at	8.2138
201072_s_at	7.65688
201073_s_at	8.521
201074_at	7.36757
201075_s_at	7.1048
201076_at	10.2798
201077_s_at	9.35444
201078_at	7.06696
201079_at	7.08866
201080_at	10.3244
201081_s_at	7.7619
201082_s_at	8.45349
201083_s_at	6.38875
201084_s_at	8.17913
201085_s_at	7.55126
201086_x_at	7.56973
201087_at	8.39312
201088_at	7.25331
201089_at	9.22478
201090_x_at	14.2212
201091_s_at	6.16481
201092_at	7.71643
201093_x_at	8.7105
201094_at	12.8003
201095_at	7.49923
201096_s_at	6.67561
201097_s_at	8.0017
201098_at	8.28217
201099_at	7.50952
201100_s_at	8.54486
201101_s_at	6.93945
201102_s_at	10.1492
201103_x_at	9.85728
201104_x_at	8.95545
201105_at	8.7884
201106_at	10.2624
201107_s_at	6.57297
201108_s_at	6.50566
201109_s_at	6.15378
201110_s_at	6.15515
201111_at	6.8021
201112_s_at	7.02191
201113_at	8.72109
201114_x_at	8.15751
201115_at	7.82837
201116_s_at	9.1063
201117_s_at	10.2337
201118_at	7.97246
201119_s_at	11.1734
201120_s_at	7.45546
201121_s_at	9.11559
201122_x_at	8.71686
201123_s_at	6.68094
201124_at	7.66654
201125_s_at	7.82986
201126_s_at	8.31303
201127_s_at	7.48785
201128_s_at	8.88775
201129_at	7.71546
201130_s_at	6.26944
201131_s_at	6.35832
201132_at	6.86173
201133_s_at	9.61255
201134_x_at	11.138
201135_at	8.60454
201136_at	7.60694
201137_s_at	7.07818
201138_s_at	7.13705
201139_s_at	6.68513
201140_s_at	9.25103
201141_at	7.14711
201142_at	8.2286
201143_s_at	6.79477
201144_s_at	8.38885
201145_at	10.3556
201146_at	6.93526
201147_s_at	7.09241
201148_s_at	7.71967
201149_s_at	7.80244
201150_s_at	7.54117
201151_s_at	6.3093
201152_s_at	9.55873
201153_s_at	7.29901
201154_x_at	11.8294
201155_s_at	10.8388
201156_s_at	8.28184
201157_s_at	6.9067
201158_at	8.28668
201159_s_at	7.56171
201160_s_at	6.28872
201161_s_at	7.1683
201162_at	9.4202
201163_s_at	7.64855
201164_s_at	8.80632
201165_s_at	9.26697
201166_s_at	10.4872
201167_x_at	6.64968
201168_x_at	8.67175
201169_s_at	6.67153
201170_s_at	8.74179
201171_at	6.65897
201172_x_at	9.19862
201173_x_at	9.48836
201174_s_at	9.84895
201175_at	8.42997
201176_s_at	6.9757
201177_s_at	6.64274
201178_at	10.2564
201179_s_at	6.33116
201180_s_at	6.97599
201181_at	6.42942
201182_s_at	8.15708
201183_s_at	9.11085
201184_s_at	10.3083
201185_at	11.4463
201186_at	8.60628
201187_s_at	7.0661
201188_s_at	6.48268
201189_s_at	7.1374
201190_s_at	9.72031
201191_at	7.8103
201192_s_at	7.18602
201193_at	7.26628
201194_at	10.9365
201195_s_at	9.28057
201196_s_at	7.04677
201197_at	6.53093
201198_s_at	8.09701
201199_s_at	7.88303
201200_at	7.10725
201201_at	9.83484
201202_at	6.3605
201203_s_at	7.51489
201204_s_at	7.77673
201205_at	7.18358
201206_s_at	8.95594
201207_at	7.951
201208_s_at	8.36556
201209_at	6.57749
201210_at	7.31504
201211_s_at	6.54654
201212_at	6.8248
201213_at	7.40669
201214_s_at	7.865
201215_at	7.51562
201216_at	8.28893
201217_x_at	13.4535
201218_at	6.58777
201219_at	6.60199
201220_x_at	9.73734
201221_s_at	8.66185
201222_s_at	6.42793
201223_s_at	6.68585
201224_s_at	8.74817
201225_s_at	7.90272
201226_at	11.2279
201227_s_at	11.0641
201228_s_at	7.33861
201229_s_at	6.46412
201230_s_at	7.45184
201231_s_at	11.1944
201232_s_at	7.01508
201233_at	7.93794
201234_at	8.99967
201235_s_at	7.45295
201236_s_at	8.05345
201237_at	6.21793
201238_s_at	7.09492
201239_s_at	8.44839
201240_s_at	9.9249
201241_at	7.73151
201242_s_at	12.6097
201243_s_at	11.9094
201244_s_at	7.21132
201245_s_at	6.74615
201246_s_at	8.99377
201247_at	9.22178
201248_s_at	8.81974
201249_at	6.89556
201250_s_at	9.14454
201251_at	10.6129
201252_at	7.05513
201253_s_at	9.71666
201254_x_at	13.1418
201255_x_at	8.97295
201256_at	10.0055
201257_x_at	13.1885
201258_at	11.5725
201259_s_at	6.25235
201260_s_at	6.87117
201261_x_at	9.38839
201262_s_at	7.57177
201263_at	6.53098
201264_at	8.07542
201265_at	6.2899
201266_at	7.52741
201267_s_at	7.89542
201268_at	9.21991
201269_s_at	7.10359
201270_x_at	10.5055
201271_s_at	7.90296
201272_at	9.11326
201273_s_at	9.42686
201274_at	6.95542
201275_at	7.04021
201276_at	9.67366
201277_s_at	7.43608
201278_at	6.83849
201279_s_at	6.65403
201280_s_at	6.94395
201281_at	7.25956
201282_at	8.39071
201283_s_at	6.66812
201284_s_at	7.35579
201285_at	7.691
201286_at	6.92553
201287_s_at	7.20236
201288_at	6.36024
201289_at	6.29348
201290_at	9.15511
201291_s_at	6.1343
201292_at	6.45859
201293_x_at	13.1253
201294_s_at	6.78463
201295_s_at	6.11825
201296_s_at	7.15023
201297_s_at	6.17641
201298_s_at	6.76525
201299_s_at	6.17463
201300_s_at	9.11634
201301_s_at	6.95418
201302_at	6.77744
201303_at	8.00201
201304_at	7.35692
201305_x_at	10.6569
201306_s_at	12.6251
201307_at	7.77719
201308_s_at	6.33143
201309_x_at	6.99068
201310_s_at	10.6511
201311_s_at	8.17618
201312_s_at	8.79586
201313_at	10.6143
201314_at	7.07351
201315_x_at	10.1259
201316_at	6.56951
201317_s_at	7.44868
201318_s_at	9.89482
201319_at	6.68585
201320_at	9.32316
201321_s_at	9.12776
201322_at	9.31533
201323_at	6.54588
201324_at	6.42668
201325_s_at	7.02399
201326_at	7.49672
201327_s_at	6.24487
201328_at	7.43608
201329_s_at	6.52697
201330_at	6.54703
201331_s_at	7.67524
201332_s_at	7.79834
201333_s_at	8.2371
201334_s_at	8.66762
201335_s_at	6.68918
201336_at	11.1185
201337_s_at	6.76877
201338_x_at	8.0495
201339_s_at	6.62831
201340_s_at	8.96334
201341_at	11.9402
201342_at	9.89032
201343_at	7.88278
201344_at	6.70598
201345_s_at	7.32201
201346_at	10.4851
201347_x_at	7.94903
201348_at	7.60111
201349_at	8.88632
201350_at	9.94496
201351_s_at	6.52738
201352_at	7.47126
201353_s_at	7.58883
201354_s_at	9.91632
201355_s_at	7.90768
201356_at	7.90609
201357_s_at	6.72067
201358_s_at	8.36194
201359_at	7.10999
201360_at	12.2943
201361_at	9.43408
201362_at	7.25774
201363_s_at	7.31554
201364_s_at	8.4586
201365_at	8.68747
201366_at	8.46338
201367_s_at	6.24162
201368_at	7.97621
201369_s_at	7.45759
201370_s_at	6.38813
201371_s_at	7.31873
201372_s_at	6.25911
201373_at	8.50397
201374_x_at	6.77628
201375_s_at	11.0202
201376_s_at	7.17503
201377_at	7.90589
201378_s_at	7.51617
201379_s_at	8.46901
201380_at	7.25706
201381_x_at	8.74817
201382_at	6.73361
201383_s_at	7.75234
201384_s_at	8.61517
201385_at	7.11565
201386_s_at	6.83675
201387_s_at	11.4595
201388_at	8.32826
201389_at	7.32736
201390_s_at	9.85248
201391_at	8.85278
201392_s_at	7.21252
201393_s_at	6.8931
201394_s_at	6.97943
201395_at	8.16607
201396_s_at	9.74919
201397_at	8.54186
201398_s_at	7.9994
201399_s_at	6.1531
201400_at	7.16019
201401_s_at	7.13242
201402_at	8.18012
201403_s_at	10.1313
201404_x_at	8.25159
201405_s_at	8.39949
201406_at	11.1443
201407_s_at	6.59534
201408_at	7.51388
201409_s_at	7.45994
201410_at	9.15218
201411_s_at	8.44274
201412_at	7.58418
201413_at	7.27752
201414_s_at	9.9193
201415_at	7.8341
201416_at	6.38159
201417_at	6.42337
201418_s_at	9.77675
201419_at	9.28961
201420_s_at	7.93419
201421_s_at	7.66407
201422_at	8.70933
201423_s_at	7.06703
201424_s_at	6.69447
201425_at	11.1116
201426_s_at	8.99543
201427_s_at	8.98043
201428_at	7.39545
201429_s_at	14.9017
201430_s_at	6.71593
201431_s_at	8.75113
201432_at	7.42823
201433_s_at	8.83995
201434_at	7.76148
201435_s_at	7.42961
201436_at	6.65205
201437_s_at	6.16102
201438_at	6.60461
201439_at	8.88847
201440_at	7.63104
201441_at	10.8958
201442_s_at	6.5004
201443_s_at	8.57145
201444_s_at	6.93027
201445_at	6.59498
201446_s_at	6.56486
201447_at	7.23817
201448_at	6.33958
201449_at	6.65773
201450_s_at	6.22573
201451_x_at	7.92715
201452_at	8.89896
201453_x_at	10.7842
201454_s_at	7.26707
201455_s_at	7.70779
201456_s_at	7.40982
201457_x_at	6.91808
201458_s_at	7.17045
201459_at	8.48057
201460_at	10.1672
201461_s_at	6.00052
201462_at	11.6244
201463_s_at	7.68072
201464_x_at	8.03185
201465_s_at	6.60749
201466_s_at	6.77314
201467_s_at	8.29441
201468_s_at	8.41819
201469_s_at	6.59162
201470_at	8.26634
201471_s_at	10.016
201472_at	8.20559
201473_at	8.22749
201474_s_at	8.20319
201475_x_at	8.0695
201476_s_at	6.4932
201477_s_at	7.15072
201478_s_at	6.51654
201479_at	7.35787
201480_s_at	9.50114
201481_s_at	9.48835
201482_at	8.16734
201483_s_at	7.47093
201484_at	7.75799
201485_s_at	8.6031
201486_at	6.67057
201487_at	7.0122
201488_x_at	8.36273
201489_at	8.10438
201490_s_at	7.29454
201491_at	9.28364
201492_s_at	13.854
201493_s_at	8.33595
201494_at	8.47697
201495_x_at	6.49685
201496_x_at	6.28178
201497_x_at	7.91222
201498_at	8.51015
201499_s_at	8.97051
201500_s_at	9.57796
201501_s_at	7.62594
201502_s_at	10.0814
201503_at	7.02771
201504_s_at	6.96265
201505_at	6.08072
201506_at	7.22039
201507_at	9.71424
201508_at	7.41624
201509_at	7.96173
201510_at	6.41593
201511_at	8.32258
201512_s_at	6.79768
201513_at	6.5519
201514_s_at	7.05069
201515_s_at	8.61309
201516_at	9.03669
201517_at	7.26337
201518_at	7.55968
201519_at	9.76661
201520_s_at	6.92023
201521_s_at	7.04448
201522_x_at	12.1794
201523_x_at	7.19318
201524_x_at	8.62362
201525_at	9.89218
201526_at	9.31246
201527_at	10.9829
201528_at	7.69034
201529_s_at	6.61707
201530_x_at	9.8117
201531_at	8.81569
201532_at	6.51352
201533_at	7.85156
201534_s_at	6.71567
201535_at	9.903
201536_at	11.5681
201537_s_at	7.20487
201538_s_at	7.27221
201539_s_at	6.52115
201540_at	9.72336
201541_s_at	7.51632
201542_at	8.61214
201543_s_at	6.91121
201544_x_at	9.68811
201545_s_at	8.57102
201546_at	7.92506
201547_at	6.68511
201548_s_at	6.97409
201549_x_at	7.05371
201550_x_at	12.0698
201551_s_at	7.23831
201552_at	7.33974
201553_s_at	11.5081
201554_x_at	7.89572
201555_at	7.10307
201556_s_at	8.46025
201557_at	11.2012
201558_at	7.095
201559_s_at	6.61588
201560_at	7.66389
201561_s_at	11.9858
201562_s_at	7.16397
201563_at	6.8539
201564_s_at	8.17686
201565_s_at	9.13083
201566_x_at	7.32007
201567_s_at	7.76282
201568_at	10.0653
201569_s_at	6.56162
201570_at	7.12743
201571_s_at	6.71274
201572_x_at	7.50478
201573_s_at	6.49078
201574_at	7.82711
201575_at	9.08238
201576_s_at	6.84375
201577_at	7.54611
201578_at	6.76198
201579_at	7.34742
201580_s_at	8.41182
201581_at	8.43071
201582_at	6.57289
201583_s_at	6.65032
201584_s_at	7.08715
201585_s_at	8.30029
201586_s_at	7.62408
201587_s_at	8.35303
201588_at	8.00552
201589_at	6.55562
201590_x_at	7.42862
201591_s_at	10.4756
201592_at	9.15581
201593_s_at	7.90399
201594_s_at	7.21006
201595_s_at	7.23827
201596_x_at	6.40245
201597_at	10.835
201598_s_at	8.41259
201599_at	9.05386
201600_at	10.1658
201601_x_at	7.5897
201602_s_at	7.24886
201603_at	6.7092
201604_s_at	6.48592
201605_x_at	8.10231
201606_s_at	7.97424
201607_at	6.68882
201608_s_at	6.71498
201609_x_at	6.96532
201610_at	6.61739
201611_s_at	7.57156
201612_at	8.89257
201613_s_at	7.2243
201614_s_at	6.61449
201615_x_at	7.33365
201616_s_at	6.56984
201617_x_at	6.23716
201618_x_at	7.86271
201619_at	8.01671
201620_at	8.26824
201621_at	9.70146
201622_at	9.748
201623_s_at	7.65337
201624_at	6.42941
201625_s_at	7.65185
201626_at	7.47786
201627_s_at	6.65133
201628_s_at	8.78788
201629_s_at	6.98131
201630_s_at	8.03125
201631_s_at	6.87515
201632_at	7.1234
201633_s_at	7.68174
201634_s_at	6.37287
201635_s_at	6.74784
201636_at	7.43844
201637_s_at	6.82081
201638_s_at	7.61215
201639_s_at	6.78179
201640_x_at	9.89048
201641_at	7.72385
201642_at	9.25287
201643_x_at	8.89746
201644_at	7.25126
201645_at	6.65639
201646_at	7.25161
201647_s_at	6.25629
201648_at	8.26039
201649_at	8.56011
201650_at	6.48345
201651_s_at	8.86856
201652_at	6.83034
201653_at	7.46678
201654_s_at	6.79762
201655_s_at	7.82497
201656_at	6.32761
201657_at	6.07884
201658_at	8.27178
201659_s_at	6.41456
201660_at	9.61185
201661_s_at	8.2263
201662_s_at	6.71901
201663_s_at	6.13491
201664_at	6.33352
201665_x_at	12.7519
201666_at	7.59212
201667_at	11.1917
201668_x_at	7.24295
201669_s_at	6.59762
201670_s_at	8.13926
201671_x_at	7.34314
201672_s_at	8.57406
201673_s_at	7.6854
201674_s_at	8.4269
201675_at	8.60049
201676_x_at	7.67145
201677_at	7.54922
201678_s_at	7.63237
201679_at	6.38662
201680_x_at	7.99027
201681_s_at	7.43465
201682_at	8.22443
201683_x_at	7.71292
201684_s_at	9.06952
201685_s_at	7.28935
201686_x_at	9.779
201687_s_at	7.1524
201688_s_at	6.72989
201689_s_at	6.28741
201690_s_at	7.33996
201691_s_at	6.40159
201692_at	9.46525
201693_s_at	6.75903
201694_s_at	7.29626
201695_s_at	7.13452
201696_at	9.53711
201697_s_at	6.88737
201698_s_at	9.59336
201699_at	6.54681
201700_at	8.99881
201701_s_at	6.31525
201702_s_at	8.01132
201703_s_at	8.16885
201704_at	9.35915
201705_at	7.82215
201706_s_at	7.81755
201707_at	7.70462
201708_s_at	9.39618
201709_s_at	10.3963
201710_at	8.57296
201711_x_at	6.66491
201712_s_at	7.61553
201713_s_at	6.48683
201714_at	6.73066
201715_s_at	7.15195
201716_at	8.54705
201717_at	8.25815
201718_s_at	8.07589
